Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
2005 07/27 2300,2005 07/29 1715,41,10792,N11E90,N/A 07/27 0502,M3,NA,NA,1787 km/s,C2
2005 08/22 2040,2005 08/23 1045,330,10798,S12W60,1N 08/22 1727,M5,NA,NA,2378 km/s,C2
2005 09/08 0215,2005 09/11 0425,1880,10808,S06E89,3B 09/07 1740,X17,NA,NA,NA,NA
2006 12/06 1555,2006 12/07 1930,1980,10930,S07E79,2N 12/05 1035,X9,NA,NA,NA,NA
2006 12/13 0310,2006 12/13 0925,698,10930,S05W23,4B 12/13 0240,X3,NA,NA,1774 km/s,C2
2010 08/14 1230,2010 08/14 1245,14,11099,N17W52,SF 08/14 1005,C4,NA,NA,1205 km/s,C2
2011 03/08 0105,2011 03/08 0800,50,11164,N24W59,N/A 03/07 2012,M3,NA,NA,2125 km/s,C2
2011 03/21 1950,2011 03/22 0135,14,11169,Farside,,NA,NA,NA,1341 km/s,C2
2011 06/07 0820,2011 06/07 1820,73,11226,S21W64,2N 06/07 0641,M2,NA,NA,1255 km/s,C2
2011 08/04 0635,2011 08/05 2150,96,11261,N15W49,2B 08/04 0357,M9,NA,NA,1315 km/s,C2
2011 08/09 0845,2011 08/09 1210,26,11263,N17W83,2B 08/09 0805,X6,NA,NA,1610 km/s,C2
2011 09/23 2255,2011 09/26 1155,35,11302,N11E74,2N 09/22 1101,X1,NA,NA,1905 km/s,C2
2011 11/26 1125,2011 11/27 0125,80,11353,N08W49,N/A 11/26 0710,C1,NA,NA,933 km/s,C2
2012 01/23 0530,2012 01/24 1530,6310,11402,N28W36,2B 01/23 0359,M8,NA,Yes,2175 km/s,C2 SDO
2012 01/27 1905,2012 01/28 0205,796,11402,N27W71,1F 01/27 1837,X1,NA,NA,2508 km/s,C2 SDO
2012 03/07 0510,2012 03/08 1115,6530,11429,N17E15,3B 03/07 0024,X5,NA,NA,2684 km/s,C2 SDO
2012 03/13 1810,2012 03/13 2045,469,11429,N18W62,1B 03/13 1741,M7,Yes,Yes,1884 km/s,C2
2012 05/17 0210,2012 05/17 0430,255,11476,N12W89,N/A 05/17 0147,M5,NA,NA,1582 km/s,C2
2012 05/27 0535,2012 05/27 1045,14,11428,Farside,,NA,NA,NA,1966 km/s,C2
