Day,Month,Year,Time,Max_Time(UTC),>10MeV_Max(pfu),Flare_Max(UTC),Flare_Level,Date_Number,0000,0300,0600,0900,1200,1500,1800,2100
12,7,2012,1835,2012 07/12 2225,96,2B 07/12 1649,X1,20120712,0,0,0,0,0,0,1,0
17,7,2012,1715,2012 07/18 0600,136,N/A 07/17 1715,M1,20120717,0,0,0,0,0,3,0,0
23,7,2012,1545,2012 07/23 2145,12,,,20120723,0,0,0,0,0,3,0,0
1,9,2012,1335,2012 09/02 0850,60,N/A 08/31 2043,C8,20120901,0,0,0,0,2,0,0,0
28,9,2012,300,2012 09/28 0445,28,N/A 09/27 2357,C3,20120928,0,0,0,0,0,0,0,0
16,3,2013,1940,2013 03/17 0700,16,N/A 03/15 0658,M1,20130316,0,0,0,0,0,0,1,0
11,4,2013,1055,2013 04/11 1645,114,N/A 04/11 0716,M6,20130411,0,0,0,1,0,0,0,0
15,5,2013,1325,2013 05/17 1720,42,N/A 05/15 0148,X1,20130515,0,0,0,0,3,0,0,0
22,5,2013,1420,2013 05/23 0650,1660,N/A 05/22 1332,M5,20130522,0,0,0,0,3,0,0,0
23,6,2013,2014,2013 06/24 0520,14,N/A 06/21 0314,M2,20130623,0,0,0,0,0,0,3,0
30,9,2013,505,2013 09/30 2005,182,N/A 09/29 2337,C1,20130930,0,1,0,0,0,0,0,0
28,12,2013,2150,2013 12/28 2315,29,N/A 12/28 1802,C9,20131228,0,0,0,0,0,0,0,1
6,1,2014,915,2014 01/06 1600,42,,,20140106,0,0,0,0,0,0,0,0
6,1,2014,915,2014 01/09 0340,1026,N/A 01/07 1832,X1,20140106,0,0,0,0,0,0,0,0
20,2,2014,850,2014 02/20 0925,22,N/A 02/20 0756,M3,20140220,0,0,6,0,0,0,0,0
25,2,2014,1355,2014 02/25 0845,103,N/A 02/25 0049,X4,20140225,0,0,0,0,1,0,0,0
18,4,2014,1525,2014 04/19 0105,58,N/A 04/18 1303,M7,20140418,0,0,0,0,0,1,0,0
11,9,2014,240,2014 09/12 1555,126,N/A 09/10 1745,X1,20140911,3,0,0,0,0,0,0,0
18,6,2015,1135,2015 06/18 1445,17,N/A 06/18 0127,M1,20150618,0,0,0,2,0,0,0,0
21,6,2015,2135,2015 06/22 1900,1066,1N 06/21 0142,M2,20150621,0,0,0,0,0,0,0,3
26,6,2015,350,2015 06/27 0030,22,N/A 06/25 0816,M7,20150626,0,3,0,0,0,0,0,0
29,10,2015,550,2015 10/29 1000,23,,,20151029,0,1,0,0,0,0,0,0
2,1,2016,430,2016 01/02 0450,21,N/A 01/02 0011,M2,20160102,0,2,0,0,0,0,0,0
14,7,2017,900,2017 07/14 2320,22,N/A 07/14 0209,M2,20170714,0,0,0,1,0,0,0,0
5,9,2017,40,2017 09/08 0035,844,N/A 09/04 2033,M5,20170905,4,0,0,0,0,0,0,0
10,9,2017,1645,2017 09/11 1145,1494,N/A 09/10 1606,X8,20170910,0,0,0,0,0,3,0,0
29,5,2021,300,2021 05/29 0320,15,1F 05/28 2313,C9,20210529,0,1,0,0,0,0,0,0
28,10,2021,1635,2021 10/29 0250,29,2N 10/28 1535,X1,20211028,0,0,0,0,0,2,0,0
30,10,2021,2100,2021 10/30 2105,11,2N 10/28 1535,X1,20211030,0,0,0,0,0,0,0,4
20,1,2022,800,2022 01/20 1015,22,Sf 01/20 0601,M5,20220120,0,0,1,0,0,0,0,0
28,3,2022,1325,2022 03/28 1450,19,2N 03/28 1129,M4,20220328,0,0,0,0,1,0,0,0
31,3,2022,620,2022 03/31 0630,11,N/A 03/30 1737,X1,20220331,0,0,4,0,0,0,0,0
2,4,2022,1430,2022 04/02 1600,32,SN 03/28 1129,M3,20220402,0,0,0,0,2,0,0,0
27,8,2022,1155,2022 08/27 1220,27,N/A 08/27 1138,M1,20220827,0,0,0,4,0,0,0,0
25,2,2023,2110,2023 02/26 0440,58,3N 02/25 1944,M6,20230225,0,0,0,0,0,0,0,3.33
13,3,2023,735,2023 03/15 0425,22,,farside event,20230313,0,0,0.67,0,0,0,0,0
23,4,2023,1815,2023 04/23 1820,26,21 1812,M1.7 04,20230423,0,0,0,0,0,0,8.00,0
8,5,2023,1240,2023 05/09 0150,38,07 2323,M1.6 05,20230508,0,0,0,0,3.33,0,0,0
9,5,2023,2335,2023 05/10 1250,83,1B 09/1858,M4,20230509,0,0,0,0,0,0,0,4.67
16,7,2023,635,2023 07/16 0735,18,,,20230716,0,0,1.00,0,0,0,0,0
18,7,2023,115,2023 07/18 0615,620,18 0006,M5 07,20230718,4.67,0,0,0,0,0,0,0
29,7,2023,20,2023 07/29 0920,154,28 1558,M4 07,20230729,2.33,0,0,0,0,0,0,0
5,8,2023,1115,2023 08/05 1745,18,05 0718,M1 08,20230805,0,0,0,5.00,0,0,0,0
8,8,2023,115,2023 08/09 0025,47,07 2046,X1 08,20230808,4.00,0,0,0,0,0,0,0
1,9,2023,430,2023 09/01 0610,25,01 0351,M1 09,20230901,0,2.67,0,0,0,0,0,0
15,12,2023,2345,2023 12/16 0015,13,,,20231215,0,0,0,0,0,0,0,3.33
3,1,2024,2005,2024 01/04 0835,20,3B 12/31 2203,X5,20240103,0,0,0,0,0,0,3.00,0
29,1,2024,615,2024 01/29 1805,137,Sf 01/29 0438,M6.7,20240129,0,0,1.33,0,0,0,0,0
9,2,2024,1530,2024 02/09 2355,187,09 1314,X3.3 02,20240209,0,0,0,0,0,0.67,0,0
12,2,2024,805,2024 02/13 1605,118,Sf 02/12 0554,C9.6,20240212,0,0,2.00,0,0,0,0,0
23,3,2024,815,2024 03/23 1820,956,2F 03/23 0133,X1.1,20240323,0,0,4.67,0,0,0,0,0
10,5,2024,1335,2024 05/10 1745,208,10 0654,X3.9 05,20240510,0,0,0,0,2.67,0,0,0
11,5,2024,210,2024 05/11 0910,116,11 0123,X5.8 05,20240511,9.00,0,0,0,0,0,0,0
8,6,2024,255,2024 06/08 0800,1030,08 0149,M9.7 06,20240608,4.33,0,0,0,0,0,0,0
23,7,2024,300,2024 07/23 1040,24,,,20240723,0,1.00,0,0,0,0,0,0
9,9,2024,1640,2024 09/09 2250,34,09 0332,M1.0 09,20240909,0,0,0,0,0,2.00,0,0
17,9,2024,735,2024 09/17 1050,33,16 2357,C9.6 09,20240917,0,0,5.33,0,0,0,0,0
9,10,2024,505,2024 10/10 1515,1810,09 0156,X1.8 10,20241009,0,4.67,0,0,0,0,0,0
26,10,2024,1910,2024 10/28 0350,364,26 0719,X1.8 10,20241026,0,0,0,0,0,0,4.00,0
21,11,2024,1925,2024 11/22 0355,125,,,20241121,0,0,0,0,0,0,3.00,0
4,1,2025,2235,2025 01/05 0055,20,04 1915,C7.6 01,20250104,0,0,0,0,0,0,0,3.67
25,2,2025,20,2025 02/25 0240,37,24 2302,M3.9 02,20250225,1.67,0,0,0,0,0,0,0
